Villages	Year	Avg_Temp_C	Avg_Humidity_Percent	Soil_Type	Soil_pH	Crop_Name	Crop_Season	Soil_N_kg_ha	Soil_P_kg_ha	Soil_K_kg_ha	Rainfall_mm	Yield_kg_ha	Fertilizer_Type	Fertilizer_Quantity_kg_ha	Farm_Area_ha
Nardana	2024	35	38.3	Mixed Soil	8.41418506	Onion	Summer	268.4	17.8	387.1	0	25799	UREA + 19:19:19	177	3.69
Nawkhani	2024	35.5	32.7	Mixed Soil	7.050024918	Onion	Summer	117.8	21.3	238.3	0	25891	UREA + 19:19:19	229	3.08
Nimzari	2024	34.1	38.3	Deep Black Soil	7.7412701	Sugarcane	Summer	107.9	11.8	335.7	0	94197	UREA + MOP + 10:26:26	935	1.17
Palasner	2024	33.4	35.9	Deep Black Soil	7.393693034	Summer Maize	Summer	108.3	12.2	496	0	2627	DAP	289	3.11
Pimpalner	2024	34.2	32.2	Light Black Soil	7.406595511	Summer Maize	Summer	109.4	12.5	421.4	0	2601	DAP	285	2
Pimpri	2024	34.6	34.8	Medium Black Soil	7.867308605	Summer Maize	Summer	292.2	23.6	258.7	0	3102	DAP	200	2.27
Prakasha	2024	35.4	37.4	Mixed Soil	8.466055378	Onion	Summer	265.2	21.7	412.6	0	21012	UREA + 19:19:19	156	4.09
Ranjane	2024	32.9	37.9	Medium Black Soil	7.894094475	Onion	Summer	107.2	14.5	278.9	0	26026	UREA + 19:19:19	289	3.08
Sadgaon	2024	33.9	32	Mixed Soil	7.358877737	Summer Maize	Summer	247	22.1	284.6	0	3688	DAP	208	1.03
Sahit	2024	35.4	36	Mixed Soil	7.876781452	Summer Maize	Summer	172	11.3	481.1	0	3690	DAP	268	4.41
Sakri	2024	34.9	37.9	Mixed Soil	7.208247552	Summer Maize	Summer	283.5	12.1	485.1	0	3404	DAP	263	1.06
Sandkhede	2024	32.9	31.9	Mixed Soil	6.928967658	Onion	Summer	210.8	14.6	319.1	0	22228	UREA + 19:19:19	195	3.21
Sarwad	2024	34.8	33.6	Mixed Soil	7.019095527	Onion	Summer	189.4	19	354.7	0	28485	UREA + 19:19:19	170	3.24
Shindkheda	2024	34.5	31.4	Mixed Soil	7.017677926	Onion	Summer	283.9	17.5	497.6	0	28706	UREA + 19:19:19	179	4.51
Shirdhane	2024	34.4	34.6	Mixed Soil	7.058234579	Onion	Summer	270.3	13.1	479.2	0	22088	UREA + 19:19:19	203	2.61
Shirpur	2024	34.8	33.5	Mixed Soil	7.036006194	Summer Maize	Summer	123.3	22.3	314.2	0	3504	DAP	207	1.54
Shirsale	2024	35.5	32.6	Mixed Soil	7.889487066	Summer Maize	Summer	275.6	23	441.8	0	2927	DAP	204	1.12
Shirve	2024	33.8	34	Mixed Soil	7.109196143	Onion	Summer	258	14.6	224.3	0	27905	UREA + 19:19:19	195	4.02
Tavalgaon	2024	33.3	30.4	Mixed Soil	7.387634382	Summer Maize	Summer	180.6	12.6	408.5	0	3836	DAP	261	3.48
Thalner	2024	33.6	31.6	Mixed Soil	8.324540297	Summer Maize	Summer	192.7	15.7	459	0	2598	DAP	244	4.94
Umbarde	2024	34.4	33.1	Mixed Soil	7.605734788	Onion	Summer	169.2	24.6	392.3	0	28815	UREA + 19:19:19	140	3.82
Vadali	2024	32.6	37.1	Mixed Soil	7.934848155	Onion	Summer	264.5	12	458.6	0	26177	UREA + 19:19:19	209	1.85
Vadjai	2024	34.8	32.3	Light Black Soil	7.337855897	Onion	Summer	102.3	17	216.9	0	29544	UREA + 19:19:19	286	1.58
Vaghor	2024	33.6	36.9	Mixed Soil	7.126891332	Onion	Summer	284.6	17.3	381.9	0	24664	UREA + 19:19:19	180	1.55
Wadi	2024	33.6	33.3	Medium Black Soil	7.532694893	Onion	Summer	253	12.6	350.8	0	28335	UREA + 19:19:19	206	1.06
Waghadi	2024	34.4	37.3	Deep Black Soil	7.13514805	Sugarcane	Summer	213.5	13.8	488.9	0	82496	UREA + MOP + 10:26:26	692	1.18
Warkhede	2024	33.7	38.1	Mixed Soil	7.273603576	Onion	Summer	179.7	12.2	310.3	0	23419	UREA + 19:19:19	208	2.4
Warul	2024	34.8	38.5	Mixed Soil	7.100917823	Onion	Summer	113.6	10.4	240.5	0	20843	UREA + 19:19:19	298	3.36
Zirve	2024	32.9	35.4	Mixed Soil	6.950794307	Summer Maize	Summer	292.6	18.2	489.7	0	3808	DAP	230	2.57
Ajang	2024	28.2	70.5	Light Black Soil	7.296508697	Groundnut	Kafik	174.9	24.3	419.6	534	1854	DAP	141	2.5
Ajnale	2024	27.8	79.5	Light Black Soil	7.568623014	Bajra (Millet)	Kafik	219.7	12.3	246.8	539.6	2895	DAP	207	4.8
Aklad	2024	28.6	78.8	Light Black Soil	7.365066975	Groundnut	Kafik	111.6	23	380.3	535.7	1950	DAP	148	3.93
Ambode	2024	29.6	71.1	Light Black Soil	7.491415889	Bajra (Millet)	Kafik	241.6	10.3	491	543.9	2035	DAP	218	3.39
Amdad	2024	28.4	70.4	Light Black Soil	7.602733817	Bajra (Millet)	Kafik	266.5	13.2	254.5	548	2372	DAP	202	1.62
Anakwadi	2024	29.9	78.5	Light Black Soil	7.752315863	Maize	Kafik	136.7	14.6	357.4	560	2451	DAP	250	1.62
Anchade	2024	28.2	73.8	Light Black Soil	7.231449712	Maize	Kafik	186.4	14.4	383.6	556	2630	DAP	251	1.23
Anchade Tanda	2024	30.3	75.4	Light Black Soil	7.839528319	Bajra (Millet)	Kafik	127.9	14.4	309.9	554.8	2197	DAP	196	4.46
Arni	2024	30.4	70.4	Light Black Soil	7.702320312	Bajra (Millet)	Kafik	191.2	21.8	259.9	544.1	2465	DAP	155	3.4
Arvi	2024	28.1	74.6	Light Black Soil	7.265407226	Groundnut	Kafik	202.8	18.9	213.9	563.7	1415	DAP	171	3.83
Awadhan	2024	27.7	76	Light Black Soil	7.898862899	Maize	Kafik	221.5	12.6	219.5	548.9	2489	DAP	261	1.08
Babhulwadi	2024	30	76.6	Light Black Soil	7.93669792	Bajra (Millet)	Kafik	289.8	24.5	442.5	569.2	2128	DAP	140	4.88
Babre	2024	28.8	73	Light Black Soil	7.248862368	Groundnut	Kafik	160.9	11.5	405.3	555.4	1318	DAP	212	4.33
Balapur	2024	28.1	79	Light Black Soil	7.421502119	Groundnut	Kafik	188	11.8	348.6	535.1	1978	DAP	210	1.85
Balhane	2024	28.3	78.7	Light Black Soil	7.844961024	Maize	Kafik	106.9	23.6	277.6	557	3332	DAP	229	1.73
Bamburle Pr Ner	2024	29.1	71.9	Mixed Soil	8.072041474	Jowar (Sorghum)	Kafik	232.5	14.7	356	543	2649	DAP	139	1.73
Behed	2024	27.5	78.9	Light Black Soil	7.347616815	Groundnut	Kafik	209.3	12.8	490.9	557.5	1552	DAP	205	2.22
Bendrepada	2024	29.7	74.1	Mixed Soil	7.15589385	Bajra (Millet)	Kafik	255	24.1	468.4	532.8	2252	DAP	142	3.1
Bhadane	2024	28.6	76.9	Light Black Soil	7.496377682	Groundnut	Kafik	219.6	23.8	226.5	537	1839	DAP	144	2.73
Bhirdai	2024	28.9	74.3	Mixed Soil	7.623689075	Jowar (Sorghum)	Kafik	139.2	10.7	297.6	564.2	2033	DAP	161	2.16
Bhirdane	2024	28.8	79.8	Mixed Soil	7.851033112	Jowar (Sorghum)	Kafik	177.7	14.1	448.6	539.1	2007	DAP	142	3.45
Bhokar	2024	29.7	72.4	Mixed Soil	7.427153187	Cotton	Kafik	171.4	14.2	362.8	563.5	1743	DAP	197	1.56
Biladi	2024	29.7	72.2	Mixed Soil	7.586309017	Jowar (Sorghum)	Kafik	128.2	22	222.4	541.2	1844	12:32:16	99	2.17
Bodgaon	2024	29.7	78.6	Light Black Soil	7.797976751	Bajra (Millet)	Kafik	297.4	21.6	259.6	555.7	2227	DAP	156	2.47
Boris	2024	29.1	74.2	Mixed Soil	6.862361445	Jowar (Sorghum)	Kafik	101.1	22.2	412.1	557.8	2061	12:32:16	98	2.82
Borkund	2024	29.2	75.3	Mixed Soil	7.229142805	Bajra (Millet)	Kafik	245.8	21.6	222.2	550.5	2695	DAP	156	4.14
Borsule	2024	28.5	70	Mixed Soil	8.012694296	Bajra (Millet)	Kafik	171.7	11.7	458.9	542.2	2010	DAP	211	1.8
Borvihir	2024	29.1	72.9	Mixed Soil	8.321851624	Jowar (Sorghum)	Kafik	224.7	15	219.1	538.5	1922	DAP	138	3.06
Burzad	2024	27.6	75.4	Mixed Soil	7.669851652	Bajra (Millet)	Kafik	162.2	14.9	418.9	531.3	2846	DAP	193	3.37
Chande	2024	27.9	70.2	Light Black Soil	7.625690788	Bajra (Millet)	Kafik	227.5	23.3	341.7	542.2	2105	DAP	147	1.19
Chaugaon	2024	27.8	70.4	Light Black Soil	7.285737609	Groundnut	Kafik	123.9	20.7	428.2	556.1	1474	DAP	161	3.43
Chinchkhede	2024	28.7	71.9	Light Black Soil	7.557929893	Maize	Kafik	212.3	21.6	348.1	567.5	3467	DAP	211	1.68
Chinchwar	2024	30.5	77.4	Light Black Soil	7.626093813	Bajra (Millet)	Kafik	204.5	16.4	207.6	564.8	2114	DAP	185	1.26
Chitod	2024	29.7	75	Light Black Soil	7.393976403	Bajra (Millet)	Kafik	121.6	10.5	390.9	560.6	2033	DAP	217	4.8
Dahyane	2024	27.9	70.9	Light Black Soil	7.415394585	Groundnut	Kafik	162.9	17.6	472.3	561.5	1588	DAP	178	4.86
Dapura	2024	28.3	71.8	Mixed Soil	7.441383077	Cotton	Kafik	149.9	16.2	426.7	556.6	1810	DAP	186	4.23
Dapuri	2024	28.2	73.3	Mixed Soil	6.834121036	Bajra (Millet)	Kafik	145.8	11.2	286.9	540.4	2571	DAP	213	2.22
Deobhane	2024	28.7	73.4	Mixed Soil	7.347534581	Bajra (Millet)	Kafik	132.2	23.9	442.4	566.3	2840	DAP	144	1.39
Deur Bk	2024	27.9	79.6	Mixed Soil	7.159461612	Bajra (Millet)	Kafik	226.7	23.1	441.1	556.8	2094	DAP	148	3.74
Deur Kh	2024	29.1	74.3	Mixed Soil	7.356745499	Bajra (Millet)	Kafik	137.3	23.4	361.8	552.4	2590	DAP	146	2.76
Dhadre	2024	29.4	70.1	Light Black Soil	7.295809705	Maize	Kafik	261.5	23.4	295.4	534.4	3007	DAP	201	1.49
Dhadri	2024	29.9	70.8	Light Black Soil	7.912421825	Maize	Kafik	122	13.4	328.1	547.9	2544	DAP	256	2.98
Dhamane	2024	28.5	70.7	Medium Black Soil	7.974873963	Cotton	Kafik	263.6	22.9	202.1	548.4	2119	DAP	149	1.14
Dhamangaon	2024	28.2	70.5	Light Black Soil	7.743281855	Maize	Kafik	202.1	16.3	266.6	564.6	2710	DAP	240	4.64
Dhamani	2024	28.4	71.7	Light Black Soil	7.831336991	Maize	Kafik	124	15.1	482.9	551.9	2984	DAP	247	2.04
Dhandhane	2024	28.8	74.7	Mixed Soil	7.647351738	Jowar (Sorghum)	Kafik	164.6	17.8	410.9	545.2	1799	DAP	122	3.65
Dhanur	2024	28.4	71.3	Light Black Soil	7.26953623	Groundnut	Kafik	172.7	24.6	488.7	569.1	1568	DAP	140	2.25
Dhodi	2024	28.5	72.5	Mixed Soil	7.713081121	Cotton	Kafik	150.4	17.5	290.3	534.4	1814	DAP	179	3.08
Diwanmala	2024	27.7	73.9	Mixed Soil	7.797629901	Bajra (Millet)	Kafik	157	10.6	382.9	546.9	2861	DAP	217	3.19
Dondwad	2024	30.2	79.9	Mixed Soil	8.067247106	Cotton	Kafik	200.5	10.8	283.6	531.7	1575	DAP	216	1.74
Fagne	2024	29.9	73.1	Light Black Soil	7.545327637	Bajra (Millet)	Kafik	281.7	13.6	243.5	559.6	2409	DAP	200	4.88
Gad Utar	2024	29.8	79.1	Mixed Soil	7.016886515	Cotton	Kafik	197.9	24.8	272.6	566.7	1960	DAP	139	4.1
Gondur	2024	28.8	72.4	Light Black Soil	7.427020725	Groundnut	Kafik	234.4	21.4	271.3	541.2	1780	DAP	157	4.76
Gotane	2024	28	77.7	Light Black Soil	7.490465837	Groundnut	Kafik	245.6	15.5	389.7	564.3	1659	DAP	190	4.58
Hadsuni	2024	28.2	77.2	Light Black Soil	7.716733793	Bajra (Millet)	Kafik	226.7	18	227.1	541.7	2687	DAP	176	3.39
Hendrun	2024	27.6	70.9	Light Black Soil	7.656622644	Maize	Kafik	267.1	14.8	256	566.4	3355	DAP	249	4.69
Henkalwadi	2024	29.3	74.5	Mixed Soil	7.405364434	Cotton	Kafik	108.2	18.9	403.3	560.2	2348	DAP	171	1.35
Hingane	2024	28.8	73.7	Light Black Soil	7.989212199	Bajra (Millet)	Kafik	103.3	17.7	267.9	562.2	2292	DAP	178	1.78
Horpada	2024	27.9	76.3	Light Black Soil	7.684619855	Bajra (Millet)	Kafik	229	12.6	407.3	530.7	2543	DAP	206	1.18
Isarne	2024	28	70.1	Light Black Soil	7.389781433	Bajra (Millet)	Kafik	177.3	24.1	241.3	568.5	2881	DAP	142	2.3
Japi	2024	30.3	72.2	Light Black Soil	7.281425978	Bajra (Millet)	Kafik	168.2	11.7	477.4	559.1	3048	DAP	211	2.55
Junnar	2024	28.6	75.2	Light Black Soil	7.322287311	Groundnut	Kafik	275.5	13.9	398	542.2	1912	DAP	199	2.09
Junwane	2024	29.9	75.8	Light Black Soil	7.396766183	Groundnut	Kafik	263.4	18.3	358.9	563.2	1497	DAP	174	4.31
Kalkhede	2024	29.8	72.2	Light Black Soil	7.328545099	Groundnut	Kafik	148.4	11.4	469.2	541.3	1356	DAP	212	2.43
Kapadne	2024	28.8	74.2	Light Black Soil	7.349253619	Bajra (Millet)	Kafik	280.1	19.5	301.7	564.9	2488	DAP	168	2.12
Kasvihir	2024	28.2	77	Light Black Soil	7.428076135	Groundnut	Kafik	169.8	20.9	469.1	534.5	1793	DAP	160	3.17
Kauthal	2024	29	73.5	Light Black Soil	7.338698876	Bajra (Millet)	Kafik	277.4	21.7	392.6	558.1	2492	DAP	156	1.56
Kawathi	2024	28.4	73.5	Light Black Soil	7.91741234	Bajra (Millet)	Kafik	116.8	12.4	469.6	551.6	2481	DAP	207	4.21
Khandlai Bk	2024	30.2	72.8	Mixed Soil	6.936397368	Cotton	Kafik	221.3	10.1	230.4	533.9	2325	DAP	219	1.3
Khandlai Kh	2024	27.8	73.4	Mixed Soil	7.691669362	Cotton	Kafik	232.7	10.1	248.2	539.7	1867	DAP	219	4.95
Khede	2024	28.6	75.9	Light Black Soil	7.528317462	Bajra (Millet)	Kafik	209.7	20.4	395.6	530.5	2903	DAP	163	4.09
Khordad	2024	29.9	74.9	Light Black Soil	7.985902894	Maize	Kafik	144.9	20.7	271.2	548.8	2881	DAP	216	1.79
Kulthe	2024	30.2	79.5	Light Black Soil	7.289631122	Groundnut	Kafik	165.1	21.2	394.9	542.1	1463	DAP	158	1.02
Kundane	2024	29.1	75	Light Black Soil	7.518284479	Bajra (Millet)	Kafik	269.8	19.9	370.5	553.9	2448	DAP	166	4.26
Kundane War	2024	28	71.4	Mixed Soil	8.448099737	Jowar (Sorghum)	Kafik	118.7	15.5	279.6	541.9	2452	DAP	135	3.83
Kusumbe	2024	28.2	76.7	Light Black Soil	7.892405701	Maize	Kafik	148.8	24.6	317.9	542	2521	DAP	195	3.92
Laling	2024	29.6	74.5	Light Black Soil	7.853657657	Maize	Kafik	278.4	19.5	438.4	559.7	2611	DAP	223	4.09
Lamkani	2024	28.9	71.8	Light Black Soil	7.406322262	Groundnut	Kafik	200.5	18.7	347.8	531.9	1961	DAP	172	1.3
Lohgad	2024	30.4	70	Light Black Soil	7.33671007	Maize	Kafik	139	20.8	284.2	566.1	2585	DAP	216	2.43
Lonkhedi	2024	28.9	71.7	Light Black Soil	7.734914576	Bajra (Millet)	Kafik	104.9	19.7	253.1	564.1	2576	DAP	167	1.46
Lonkute	2024	30.1	71.3	Light Black Soil	7.943500791	Bajra (Millet)	Kafik	288.1	24.3	474.5	556.7	2589	DAP	141	4.45
Mahal Kali	2024	27.8	79.8	Mixed Soil	7.746496918	Jowar (Sorghum)	Kafik	174	10.2	478.5	553.7	2190	DAP	164	3.49
Mahal Kandamana	2024	29.3	72.5	Mixed Soil	7.771741572	Cotton	Kafik	185.6	24.5	489.1	565.7	2139	DAP	140	2.32
Mahal Kasad	2024	29.2	77.9	Mixed Soil	7.275964459	Jowar (Sorghum)	Kafik	270.6	14.4	315.5	537.4	1941	DAP	141	1.25
Mahal Londha	2024	28.8	76.8	Mixed Soil	8.108137986	Bajra (Millet)	Kafik	270.2	14.8	250.8	533.2	2559	DAP	194	2.24
Mahal Pandhari	2024	28	74.2	Mixed Soil	7.117974373	Cotton	Kafik	211.4	24	408.8	539.6	1877	DAP	143	2.3
Mahal Raiwat	2024	29.3	72.1	Mixed Soil	7.350254702	Cotton	Kafik	214	11.5	384.5	561.8	2155	DAP	212	3.92
Mahalmali	2024	29	70.4	Mixed Soil	7.523241946	Bajra (Millet)	Kafik	298	12.1	355.5	531.4	2098	DAP	208	3.55
Mahindale	2024	28.6	78.8	Mixed Soil	7.662937644	Cotton	Kafik	275.5	21.1	409.1	553.3	2068	DAP	159	4.55
Malane	2024	30.1	72.4	Light Black Soil	7.393927786	Groundnut	Kafik	240.5	15.4	288.1	569.8	1348	DAP	190	2.89
Mandal	2024	29.6	70.1	Medium Black Soil	7.59186946	Tur (Red Gram)	Kafik	261.9	22.2	460.1	564.2	1358	DAP	153	1.48
Mehergaon	2024	28.7	76.2	Light Black Soil	7.688496034	Bajra (Millet)	Kafik	282.6	17.7	350.5	550.9	2185	DAP	178	3.85
Moghan	2024	28.7	78.4	Light Black Soil	7.430904443	Groundnut	Kafik	259.7	19.7	410.6	532.5	1346	DAP	167	4.04
Mohadi Pr Dangari	2024	28	72.8	Mixed Soil	7.788104976	Cotton	Kafik	259.2	23.4	301.4	563.3	2313	DAP	146	3.25
Morane Pr Laling	2024	28.2	77.8	Mixed Soil	7.062416616	Jowar (Sorghum)	Kafik	175.1	11.4	373.5	554	1994	DAP	157	4.08
Morane Pr Ner	2024	28.7	74.3	Mixed Soil	7.617938173	Jowar (Sorghum)	Kafik	107.2	17	362.8	534.6	2610	DAP	126	2.98
Mordad	2024	27.5	78.4	Light Black Soil	7.626071546	Maize	Kafik	157.3	18.9	209.2	533.8	3602	DAP	226	3.09
Mordad Tanda	2024	27.5	72	Mixed Soil	6.888100013	Cotton	Kafik	107.5	22.3	308.1	566.4	2068	DAP	152	2.71
Morshevadi	2024	29.4	78.3	Mixed Soil	7.372227273	Cotton	Kafik	125.4	17.8	431	556.8	1657	DAP	177	1.1
Mukati	2024	30	76.6	Medium Black Soil	7.607531742	Soybean	Kafik	143.2	19.3	225.6	563.2	1700	DAP	306	1.43
Nagaon Bk	2024	27.9	73.6	Mixed Soil	6.90773745	Bajra (Millet)	Kafik	110.3	18	362.2	565.2	2833	DAP	176	1.13
Nagaon Kh	2024	28.1	78.5	Mixed Soil	8.482932395	Jowar (Sorghum)	Kafik	227.5	20.9	492.8	552.9	2073	12:32:16	105	3.55
Nakane	2024	29	79.1	Light Black Soil	7.457883076	Groundnut	Kafik	203.3	14.8	438.6	550.7	1270	DAP	194	2.26
Nandale Bk	2024	29.5	79.9	Mixed Soil	8.176786558	Jowar (Sorghum)	Kafik	154.2	16.6	223.5	547.2	2255	DAP	129	3.03
Nandale Kh	2024	29.4	78.9	Mixed Soil	7.232889113	Cotton	Kafik	105.1	24.4	450.8	542.7	2331	DAP	141	4.63
Nandane	2024	28.9	74.2	Mixed Soil	7.958554628	Bajra (Millet)	Kafik	239.2	16.1	252	547.4	2831	DAP	186	2
Nandre	2024	30.2	76.7	Light Black Soil	7.808182288	Bajra (Millet)	Kafik	131.3	13.8	364.8	561	2136	DAP	199	2.64
Nane	2024	30.1	73.9	Mixed Soil	7.812585859	Bajra (Millet)	Kafik	242.9	19.9	284	554.1	2693	DAP	166	4.02
Narvhal	2024	30.3	73.2	Light Black Soil	7.577260951	Maize	Kafik	291	21.1	366.3	565.7	2642	DAP	214	1.92
Navakothare	2024	28.1	72.6	Mixed Soil	7.500129554	Jowar (Sorghum)	Kafik	222.3	16.3	274.3	547.7	1929	DAP	130	1.31
Navalane	2024	28	78.3	Mixed Soil	7.393076053	Bajra (Millet)	Kafik	171.2	21.4	204.3	554.3	2919	DAP	157	2.16
Nawalnagar	2024	30	73.9	Mixed Soil	8.380199545	Bajra (Millet)	Kafik	123.2	10.7	212.2	555.3	2220	DAP	216	1.64
Nawra	2024	30.4	77.8	Light Black Soil	7.864495526	Maize	Kafik	271.1	20.6	342.3	553.7	2697	DAP	217	4.72
Nawri	2024	30.1	74.7	Light Black Soil	7.972021529	Bajra (Millet)	Kafik	119.6	17.4	342	558.1	1941	DAP	179	4.23
Nikumbhe	2024	28.1	74.7	Light Black Soil	7.299437779	Maize	Kafik	134.6	16.5	319.6	539.5	3474	DAP	239	3.53
Nimdale	2024	28.1	70.1	Light Black Soil	7.78469398	Bajra (Millet)	Kafik	223.2	19.5	213.6	550.5	2828	DAP	168	4.49
Nimgul	2024	29.5	76.7	Medium Black Soil	8.250672365	Tur (Red Gram)	Kafik	174.9	19.4	350.9	534.2	1581	DAP	168	4.21
Nimkhedi	2024	28.8	71.3	Light Black Soil	7.344986453	Bajra (Millet)	Kafik	271.3	19.9	248.9	545.4	2780	DAP	166	1.75
Nurnagar	2024	28.2	73.4	Mixed Soil	6.913043655	Bajra (Millet)	Kafik	114.1	19.6	208	549.5	2110	DAP	167	4.57
Nyahalod	2024	30.3	74.7	Light Black Soil	7.792896519	Maize	Kafik	217.2	24.1	372.6	556.1	2947	DAP	197	3.16
Padalde	2024	29.3	73.5	Light Black Soil	7.659578491	Bajra (Millet)	Kafik	177.6	19.6	337.5	568	2333	DAP	167	4.23
Pimparkhede	2024	29.5	78.7	Light Black Soil	7.873463021	Maize	Kafik	209.1	24.1	315.8	554	2480	DAP	197	4.58
Pimpri	2024	28.6	78.5	Medium Black Soil	7.611817901	Tur (Red Gram)	Kafik	292.2	23.6	258.7	559.7	1491	DAP	145	2.27
Purmepada	2024	27.6	72.4	Mixed Soil	8.15195443	Cotton	Kafik	113.9	11.5	205.5	550.3	2404	DAP	212	1.44
Rami	2024	29.5	78.3	Medium Black Soil	7.661301856	Soybean	Kafik	118.9	20.2	221.4	555.4	1432	DAP	301	1.91
Ranmala	2024	29.1	73.2	Mixed Soil	7.078215103	Jowar (Sorghum)	Kafik	163.8	22.7	207	532.8	2000	12:32:16	95	2.71
Ratanpura	2024	28.2	70.7	Mixed Soil	7.079251856	Cotton	Kafik	262.9	14.2	235.4	540.2	1719	DAP	197	4.27
Raver	2024	29.8	72.7	Light Black Soil	7.851659776	Maize	Kafik	239.3	19.4	463.2	544.5	2665	DAP	223	4.44
Sadgaon	2024	27.9	72.6	Mixed Soil	7.930835275	Jowar (Sorghum)	Kafik	247	22.1	284.6	548.9	2592	12:32:16	98	1.03
Saitale	2024	29.5	75.8	Mixed Soil	7.689211222	Cotton	Kafik	135.5	21.3	442.1	531.8	1969	DAP	158	3.04
Sanjori	2024	30	73.1	Light Black Soil	7.487064387	Bajra (Millet)	Kafik	298.1	16.2	311.6	535.6	2462	DAP	186	2.67
Sarvad	2024	30.4	79.8	Mixed Soil	8.291240919	Bajra (Millet)	Kafik	255.3	15.1	479.2	541.1	2792	DAP	192	1.89
Satarne	2024	28.1	77.3	Mixed Soil	7.467156683	Bajra (Millet)	Kafik	271.7	16.4	425.3	568.9	2113	DAP	185	1.48
Saundane	2024	28.9	77.8	Light Black Soil	7.853279552	Bajra (Millet)	Kafik	250.9	11.5	470.8	543.3	2486	DAP	212	2.35
Savali	2024	28.8	74.5	Light Black Soil	7.551307927	Bajra (Millet)	Kafik	201.1	22.4	296	549.3	2422	DAP	152	4.77
Sawalade	2024	29.4	73.9	Mixed Soil	7.44080553	Cotton	Kafik	279.1	15.8	203.3	537.8	2093	DAP	188	2.29
Sawali Tanda	2024	28.8	70.3	Mixed Soil	7.586555636	Jowar (Sorghum)	Kafik	281.1	11.4	295.8	554.4	2680	DAP	157	3.08
Sayane	2024	27.8	74.7	Mixed Soil	7.312342386	Bajra (Millet)	Kafik	290	24.3	372	541.2	2802	DAP	141	3.81
Shirdane Pr Ner	2024	29.9	70.8	Mixed Soil	8.070935946	Bajra (Millet)	Kafik	226.4	16.7	288	538.3	2386	DAP	183	2.45
Shirdhane Pr Dangari	2024	29.1	71.3	Mixed Soil	7.654624663	Bajra (Millet)	Kafik	165.7	20.1	425.7	550.7	2867	DAP	164	4.89
Shirud	2024	29.7	72.7	Light Black Soil	7.385770156	Bajra (Millet)	Kafik	258.3	21.8	227.4	530.2	2131	DAP	155	4.85
Sitane	2024	29.1	73.1	Light Black Soil	7.919659659	Bajra (Millet)	Kafik	198.9	10.9	364.9	530.3	1974	DAP	215	2.01
Sonewadi	2024	28.2	76	Light Black Soil	7.507112977	Maize	Kafik	188.3	23.3	305.3	538.8	2622	DAP	202	2.99
Songir	2024	29.9	75.4	Light Black Soil	7.634842289	Bajra (Millet)	Kafik	123.4	12.1	428.5	531.5	2321	DAP	208	2.2
Sukawad Pr Dangari	2024	29.7	73	Mixed Soil	8.341002589	Jowar (Sorghum)	Kafik	223.6	11.5	225.2	534.3	2210	DAP	157	2.14
Sutare Pada	2024	28.2	74.3	Mixed Soil	7.861204593	Bajra (Millet)	Kafik	240.2	11.1	446.6	543.6	2629	DAP	214	1.15
Tamaswadi	2024	29	70.3	Light Black Soil	7.293518433	Groundnut	Kafik	241.2	11.2	225.5	562.1	1928	DAP	213	3.44
Tarwade	2024	29.7	70.7	Light Black Soil	7.951865699	Bajra (Millet)	Kafik	297.3	15.6	311.2	552.9	2511	DAP	189	3.01
Tikhi	2024	28.6	74	Light Black Soil	7.702166442	Bajra (Millet)	Kafik	262.6	24.2	495.8	550.5	2501	DAP	142	1.21
Tisgaon	2024	28.7	71.2	Light Black Soil	7.467924492	Groundnut	Kafik	250.7	15.6	225.1	541.7	1240	DAP	189	2.11
Ubhand	2024	28.5	77	Light Black Soil	7.311417658	Bajra (Millet)	Kafik	255.4	18.4	327.3	567.3	1979	DAP	174	4.63
Udane	2024	28.8	70.5	Light Black Soil	7.835220151	Bajra (Millet)	Kafik	281.3	11.7	347.8	545.9	2557	DAP	211	1.96
Vadjai	2024	30.4	73.6	Light Black Soil	7.696058205	Maize	Kafik	102.3	17	216.9	533.5	2921	DAP	275	1.58
Vajirkhede	2024	28.8	76.3	Mixed Soil	7.706883856	Jowar (Sorghum)	Kafik	123.8	11.8	394.8	554.7	2526	DAP	155	2.96
Vani Bk	2024	30.5	73.3	Light Black Soil	7.915114066	Maize	Kafik	249.2	18.8	488.7	534.6	2566	DAP	227	4.94
Vani Kh	2024	27.5	74.7	Mixed Soil	8.140615259	Jowar (Sorghum)	Kafik	175	14.3	460.6	543.8	1744	DAP	141	1.97
Varkhede	2024	29.1	74	Light Black Soil	7.321339904	Bajra (Millet)	Kafik	144.7	24.4	203.6	550.3	2443	DAP	141	3.69
Velhane	2024	30.4	71.7	Light Black Soil	7.449377654	Groundnut	Kafik	294	10.6	467.3	565	1390	DAP	217	4.05
Vinchur	2024	28.1	72.8	Light Black Soil	7.398791312	Groundnut	Kafik	205.5	24.9	222.1	549.7	1240	DAP	138	1.95
Vishwanath	2024	30	75	Mixed Soil	8.064708697	Cotton	Kafik	210.8	24.5	356.9	558.1	2216	DAP	140	3.91
Wadel	2024	29.3	74	Light Black Soil	7.226825948	Groundnut	Kafik	225.9	20.4	336.4	569.7	1289	DAP	163	2.47
Wadgaon	2024	30.4	73.7	Light Black Soil	7.655911748	Bajra (Millet)	Kafik	225.5	18.8	470.3	535.3	2621	DAP	172	3.53
